id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
2cf97079eb09907a77df5870be44906da7cffa45d2cadc8c2ee11efcdef69d06,2fc6fb804b620d1b62c0fae951d12df8,m,1971,m,choice_0,choice_0,choice_2,choice_0,choice_1,choice_2,choice_0,choice_1,choice_1,choice_0,choice_1
6a3254ac6a33f15c53a3f6d561069d503fed419167909001560eaf28846a2a11,4d520628d3db5d0161c058af7873ca5c,f,1981,m,choice_0,choice_2,choice_0,choice_0,choice_1,choice_1,choice_1,choice_1,choice_1,choice_0,choice_0
1c870fa2705af22652c76a6eb7dd6c953a79130ba2633d628493570487401a11,76dc297a457121b31cde68fed8816208,f,1961,b,choice_1,NA,choice_0,choice_4,choice_4,choice_4,choice_4,choice_4,choice_1,choice_1,NA
88454b5db1e75a65154cf9cecf3e3aa5f9b71cfe01f6dbb5c5c4346716d0d82d,26bcc4a8302f3e66e5eabc5c9a241e62,,None,,choice_2,choice_1,choice_2,choice_2,choice_1,choice_1,choice_1,NA,NA,choice_0,choice_1
7ca4fd0c470856afad178fe1efdafae1fb3922d60059b5c648bde6fa762f8ac3,863b4213228a1056eac53bbb423f423e,m,1984,m,choice_0,choice_0,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_0,choice_1
458eed760ec7c5c57732b0dae11b6a5f3d9aa06a109aeb84def5f062de76c9cb,9ff5da2ea385b89523f0cd9ace872aba,m,1953,m,choice_0,choice_2,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_0,choice_0,choice_0
775a91a6d91ab33fb82537e4a6ffeb8588f1177681bb10676380b14cad2689cb,9b09341c2dedce7ce4121b91005e9b12,m,1973,m,choice_0,choice_2,choice_0,choice_0,choice_0,choice_1,choice_2,choice_2,choice_1,choice_0,choice_0
4ac6061fe6e4c6a0a0b60c9c9d1f08d31841ec5ffa85a040c1c5cc2ccd4d266d,26a02883d7735bd5fe44067e84f4b42b,m,1961,m,choice_0,choice_0,choice_2,choice_0,choice_0,choice_1,choice_3,choice_2,choice_1,choice_0,choice_1
865ec44f5667624c0452ae1f5719881841c29c5b0cd82f3a052027d52d1618d3,71a62d8e391544f5e3955037c7eed3be,m,1974,m,choice_0,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_1,choice_0,choice_1
ee74ea69a47924a244f5823fc1db9e99820f8e45ff4c0518e99ca34ce804c4cf,d5958be763bd65a2a9473e8ce6102d12,m,1992,hs,choice_0,choice_0,choice_1,choice_1,choice_0,choice_1,choice_1,choice_1,choice_1,choice_0,choice_1
9ad9c8f8cd0d035de9ff0c8f290459b998faf19ba1eb84122ed9ec0086e4a4d3,e9611667ae7dc610a7ddae28d77cae76,m,1965,m,choice_0,choice_0,choice_1,choice_0,choice_0,choice_1,choice_1,choice_1,choice_1,choice_0,choice_1
a671eba643a6fc2fc55e30d3f2b7bca17df040b7169e077ed11b2798e2e0e884,6912124237a826ec32b8cb4124189c02,m,1963,m,choice_0,choice_2,choice_1,choice_1,choice_1,choice_1,NA,choice_2,choice_2,choice_0,choice_1
